accel_x,accel_y,accel_z,
0.0024106293,9.1428845E-4,0.14451109,
0.0017306467,8.1592705E-4,0.14508419,
0.002560152,7.0703635E-4,0.14382216,
0.002289257,0.0010316572,0.14464942,
0.002504333,5.9166737E-4,0.14492029,
0.0026342901,0.0012117499,0.14420155,
0.0022107502,0.002008872,0.14388989,
0.003597391,0.0021727511,0.14249888,
0.0032877228,0.0024312094,0.14358936,
0.0030219436,0.0010389613,0.14334875,
0.003616264,6.762438E-4,0.14338526,
0.0039446,0.0011595311,0.14559235,
0.0032358596,9.852808E-4,0.14474356,
0.0031350902,0.0015201722,0.14502144,
0.0033579508,0.0021647827,0.1445202,
0.002781501,0.0019689007,0.14436783,
0.003018485,0.0028001259,0.14855616,
0.0034247758,0.0030872738,0.14841816,
0.0028881521,0.0026770453,0.14485204,
0.0023197385,0.0033826965,0.145739,
0.0023296261,0.001254536,0.14529045,
0.0023237695,0.0011617043,0.1455668,
3.767321E-4,9.855737E-4,0.14907941,
2.4363492E-4,0.0021737893,0.14924133,
0.002570493,0.0029254924,0.14653362,
0.001413312,0.0026415773,0.14863543,
0.0028167814,0.001831131,0.15094188,
0.002861489,0.0020947186,0.14949352,
0.003473738,0.0027606708,0.14880927,
0.00310029,0.0011429086,0.14931929,
0.0011736497,7.704282E-4,0.15004496,
0.0020884376,0.001823229,0.14794482,
0.0028337073,0.0016590715,0.14588107,
0.0025019292,0.0012645719,0.1476038,
0.0019955342,0.001331928,0.14888096,
0.0036907708,0.001875839,0.147451,
0.0040190034,0.002284864,0.14621478,
0.004774618,0.0022867543,0.14759639,
0.0033039763,0.0010301261,0.14897583,
0.0036516942,0.0023046567,0.15044388,
0.0028091471,0.0028762808,0.15032789,
0.0026647875,0.0024945254,0.14972003,
0.0011764732,0.0023008704,0.1478424,
5.0379476E-4,0.0029635718,0.14874023,
9.545125E-6,0.0028139602,0.14872457,
-2.946104E-4,0.0041470244,0.1495866,
8.6529646E-5,0.00360548,0.14938045,
-4.766644E-4,0.0031038737,0.14912318,
1.0484317E-4,0.0024477364,0.14695941,
0.0016096921,0.0023317197,0.14639933,
0.0018117186,0.0010032731,0.14775124,
0.0034039349,6.620367E-4,0.1488017,
0.002819272,3.8680155E-4,0.14886393,
0.0025946172,6.407064E-4,0.14724277,
0.0025081877,-1.605784E-4,0.14723508,
0.0026943195,7.1608205E-4,0.14641957,
0.0028190203,0.001479096,0.14732085,
0.0023857106,0.0015023206,0.14744788,
0.0016968963,0.0027405997,0.14675291,
0.0011859031,9.333631E-4,0.14684719,
0.0013338311,8.241802E-4,0.14717439,
1.9861618E-4,0.0012956331,0.14677376,
0.0014876612,0.0025388785,0.14652382,
0.0019805538,0.002120478,0.14558463,
0.001914877,0.0016005475,0.14592071,
0.0022302186,0.0017110815,0.14798376,
0.0024818406,0.0016595465,0.14855434,
0.0024868944,0.002223196,0.1480719,
0.0020735397,0.0010079294,0.14753991,
0.00127621,0.0019049167,0.14777383,
9.987643E-5,-3.532807E-4,0.14778653,
3.3237413E-4,-8.732546E-6,0.14780967,
-1.6205478E-5,-0.001459785,0.14804615,
3.084531E-4,-0.0012460046,0.14740677,
5.9791E-4,-0.0014351571,0.14724508,
4.301872E-4,-0.0013044293,0.14797197,
-9.732321E-5,7.3275436E-4,0.14633934,
-0.0014864006,-2.7880818E-4,0.14703391,
-6.3159503E-4,4.361358E-4,0.1461253,
-7.502446E-4,2.569051E-4,0.14492966,
-5.1962817E-4,7.298931E-4,0.1451746,
4.7062524E-5,1.4164881E-4,0.14366104,
-0.0023384946,3.4892885E-4,0.1454302,
-0.0015762812,0.0013255565,0.14726035,
-0.0019410746,-0.0010601513,0.1452103,
-0.002286558,2.9318454E-4,0.14436693,
-0.0025892262,-9.537842E-4,0.14495313,
-0.0036211116,-0.0016969412,0.14210169,
-0.0025295685,-9.7548356E-4,0.1429026,
-0.0028407164,-0.0011668666,0.14440095,
-0.0010872777,-2.192778E-4,0.14484328,
-8.9935446E-4,-9.2068594E-4,0.14400205,
-4.7885487E-4,-1.2108777E-4,0.14383039,
-1.9994238E-4,-5.757506E-5,0.14283948,
-0.0010490254,2.100612E-4,0.14196822,
-0.0011353688,6.5894076E-4,0.1418565,
-0.0011948524,-7.6964265E-4,0.14303996,
-0.001110076,-7.348568E-4,0.14413038,
-6.1963266E-4,-6.856425E-4,0.14403087,
-0.00101399,8.6033973E-4,0.14401521,
-0.001110808,6.882383E-4,0.1448,
-7.657502E-4,9.321561E-5,0.14600208,
-7.6201605E-4,-8.1326626E-4,0.14684235,
-6.827656E-4,-6.9653126E-4,0.14657497,
-1.620953E-4,-9.3234144E-4,0.14454393,
-8.6794794E-4,-1.6938895E-5,0.14561497,
-1.18572265E-4,-0.0011170369,0.14554697,
-4.3213693E-4,-0.0012790719,0.14577965,
-1.865006E-4,-0.0019122094,0.14474222,
2.654856E-4,-0.0019157686,0.14511402,
4.2948406E-4,-9.079471E-4,0.14675674,
0.0012792859,-1.0111439E-4,0.14769025,
0.0010246756,-5.9601944E-4,0.14748369,
8.6911675E-4,-7.5897435E-5,0.14997272,
0.0010012973,-7.4327807E-4,0.15026009,
3.1369226E-4,6.0278922E-5,0.15067004,
3.3353502E-4,8.212533E-4,0.15026456,
3.393162E-4,0.0012717771,0.14862153,
2.4436647E-4,5.1221997E-4,0.14943318,
1.3997778E-4,0.0022453794,0.14894202,
2.1324819E-4,0.0019821515,0.14934286,
9.76176E-4,0.0017546134,0.14832278,
5.624923E-4,0.0011025418,0.14824735,
4.4415565E-4,2.488508E-4,0.14901432,
2.6064413E-4,1.2906385E-4,0.14976978,
-0.0015890528,7.427833E-5,0.14803697,
-0.0013073017,-9.4189635E-4,0.14908619,
-0.0010058992,-0.0011843345,0.1479015,
8.742791E-5,-0.001097237,0.1470502,
-1.290706E-4,-6.686072E-4,0.14737043,
7.9977605E-4,-0.0020492342,0.14730845,
9.4411103E-4,-0.001710186,0.14683026,
0.0011249911,-0.0025511621,0.14821543,
5.612569E-5,-0.0024442337,0.1485453,
2.94019E-4,-0.0022422809,0.147338,
8.1074797E-4,-0.0018859765,0.14660418,
-4.1746814E-4,-0.0025904889,0.14664732,
5.3793658E-5,-0.0031347475,0.14675401,
-4.452234E-5,-0.003534294,0.14601809,
4.2663654E-4,-0.0031585735,0.1463864,
1.3352465E-4,-0.003077013,0.14621538,
2.7551362E-4,-0.0035115548,0.14713065,
8.243909E-4,-0.0021483006,0.14824769,
0.001367009,-0.0016478782,0.14840224,
0.001074319,-0.0019337285,0.1470962,
-1.5752576E-4,-0.001388493,0.14658251,
-1.02760736E-4,5.01147E-5,0.1448457,
5.6158286E-4,5.0737127E-4,0.14521582,
-6.963932E-4,-6.167046E-4,0.14661261,
1.3660034E-4,-6.413851E-4,0.14685617,
0.0010603818,-1.3947184E-4,0.14597762,
0.0012825788,-9.55411E-4,0.14657557,
0.0012849136,-3.6360184E-4,0.14649096,
0.0017413953,-8.1598386E-4,0.14495185,
0.0017380519,-0.0012526745,0.14432895,
0.0012645833,-0.0018205829,0.14491765,
0.0016712155,-0.0017038806,0.14573348,
0.0021850085,-0.0017932847,0.14613797,
0.0023565602,-0.0024098193,0.14729539,
0.003138909,-0.0015419635,0.1463175,
0.0034079882,-8.2173734E-4,0.14566523,
0.002175995,-3.7527108E-4,0.14722276,
9.680856E-4,-0.0012672003,0.14593506,
0.001248074,-6.3218223E-4,0.14477704,
0.0018929336,-3.8209395E-4,0.14526975,
0.0019608464,-0.0013527595,0.14517161,
0.0022570863,-0.0013843642,0.14462149,
0.0010880632,-8.5034315E-4,0.14507806,
3.654044E-5,-8.3062914E-4,0.14555949,
-0.001202187,-2.5740592E-5,0.14585723,
-8.1980135E-4,4.5894762E-4,0.14365365,
-8.062138E-4,0.0017222667,0.1447958,
7.34302E-4,-3.2653823E-4,0.14414664,
0.0010932405,-0.0019402978,0.14581402,
9.969268E-4,-0.003908933,0.14666834,
0.0021492545,-0.0037230086,0.14663509,
0.001380193,-0.0033323283,0.14894621,
8.941069E-5,-0.0023551227,0.14760225,
0.001599554,-0.004249489,0.1476936,
0.0014089297,-0.004841518,0.14783025,
2.6709447E-4,-0.0029399865,0.14730895,
-5.299803E-4,-0.001992119,0.1486716,
-6.009559E-4,-3.329895E-4,0.14737608,
-6.4522354E-4,0.0010491521,0.14765914,
8.7099546E-4,-0.0011829534,0.14679603,
0.002394847,-0.0017561906,0.14624427,
0.0022078408,-0.0017935897,0.14645632,
0.0011940892,-0.0031666986,0.14542332,
5.482952E-4,-0.0034789639,0.14497145,
0.0015444527,-0.0050902227,0.14452842,
0.0026254742,-0.0063609537,0.14391996,
0.0014175235,-0.006155826,0.14460698,
4.7731586E-4,-0.0059337355,0.14491682,
1.616762E-4,-0.0056451885,0.14610982,
0.0011778227,-0.0055938708,0.14593786,
-2.8247945E-5,-0.0065230057,0.14380771,
0.0011556367,-0.0067069256,0.14324214,
0.0017820853,-0.005827874,0.1434234,
0.0010250409,-0.0039678356,0.14543241,
-7.5703766E-4,-0.0034504894,0.1463342,
-6.667576E-4,-0.0027750086,0.14557888,
2.7743308E-4,-0.0017215367,0.14555748,
-1.9092206E-4,-0.0010543228,0.14462216,
-1.7782627E-4,-0.0014822986,0.14671086,
-6.0238875E-4,-0.0017910326,0.14827758,
1.7412519E-4,-9.790435E-4,0.14916049,
-8.882955E-5,-0.0012136677,0.14891624,
-5.266811E-4,-0.0016279523,0.14848286,
5.748053E-4,-9.2221797E-4,0.14823352,
0.0011614775,-0.0011913322,0.14826232,
7.2879856E-4,-0.0013288716,0.14759912,
0.0013434661,-5.7399576E-4,0.14765513,
7.396452E-4,-0.0016519912,0.1485355,
2.5242846E-4,-0.0032809547,0.14838198,
6.920472E-5,-0.002094532,0.14735657,
0.0010906337,-0.0014342328,0.14804886,
5.663545E-4,-0.0021081616,0.14610104,
0.0010463404,-0.002447295,0.14631316,
1.08693726E-4,-0.0017463865,0.1465508,
-3.387062E-4,-0.0011672098,0.1468545,
3.1980127E-4,-3.986233E-4,0.14707434,
0.0011791268,-0.001605338,0.14635593,
9.7505096E-4,-0.0031112395,0.14699005,
5.0838105E-5,-0.003154709,0.14695163,
-2.0441134E-5,-0.0034324403,0.14773214,
-2.4217414E-4,-0.001998317,0.14660226,
-0.0011824137,-0.0022852707,0.14652699,
-6.435877E-4,-0.0023824966,0.14738525,
-5.6152185E-4,-0.0018726471,0.14689966,
-9.558364E-4,-0.002469369,0.14566478,
-0.0017973348,-0.0023587558,0.14602526,
-0.0029422254,-0.0023482803,0.14680797,
-0.0030543506,-0.002164734,0.14789057,
-0.003357546,-0.0027120048,0.14862521,
-0.0018270407,-0.0021834183,0.14786135,
-0.0018517091,-0.0023520943,0.14739467,
-0.0018985313,-0.0023328804,0.14630936,
-7.626205E-4,-0.002380377,0.14563869,
-1.7320458E-4,-0.0024869372,0.14391255,
-0.00141577,-0.002746703,0.14318286,
-0.0010467833,-0.0020844568,0.14628734,
-8.147233E-4,-0.0016010688,0.14662054,
1.555481E-4,-0.0015387139,0.14661297,
-9.303102E-4,-0.002115296,0.14641352,
-1.9324338E-4,-8.101431E-4,0.14433137,
-6.00636E-4,-9.6013956E-4,0.1453014,
-0.0013568853,-0.0015129447,0.14691672,
-4.8602885E-4,-0.0022582589,0.1469576,
6.4084167E-4,-0.0029698077,0.14757231,
-0.0010765456,-0.001799807,0.1490321,
-8.705389E-4,-4.5307726E-4,0.14716768,
-1.2959167E-4,-0.0014056023,0.14716314,
