accel_x,accel_y,accel_z,variance,variance,mean_x,mean_y,covarianceX,covarianceY,whiteNoiseX,whiteNoiseY
8.77E-04,0.001748869,0.14310685,,,,,,,,
3.71E-04,6.31E-04,0.14332183,,,,,,,,
1.18E-05,0.001621758,0.14689007,,,,,,,,
-4.67E-04,0.001096533,0.1467288,,,,,,,,
-6.28E-04,8.14E-04,0.14863561,,,,,,,,
-8.64E-04,0.002247131,0.1461352,,,,,,,,
5.80E-04,0.002717848,0.14418446,,,,,,,,
0.001830878,0.003048816,0.1438141,,,,,,,,
0.00108143,0.003790581,0.14538069,,,,,,,,
8.48E-04,0.00317492,0.14743069,,,,,,,,
6.67E-04,0.003335325,0.14645371,,,,,,,,
4.47E-05,0.002517979,0.1443482,,,,,,,,
-6.72E-04,0.001558732,0.14325857,,,,,,,,
-0.001095201,0.002438247,0.14182617,,,,,,,,
-0.001041044,0.002736985,0.1441319,,,,,,,,
-8.32E-04,0.002960383,0.14537358,,,,,,,,
-9.37E-04,0.002726134,0.14828102,,,,,,,,
-7.52E-04,8.06E-04,0.15032136,,,,,,,,
-0.003069168,6.21E-04,0.14979595,,,,,,,,
-0.002238386,0.0015528,0.14824016,,,,,,,,
-0.001647435,0.00188607,0.14447321,,,,,,,,
-0.002079789,0.003332085,0.14343256,,,,,,,,
-0.001524122,0.002296652,0.14299746,,,,,,,,
-0.001438353,0.001279715,0.14265582,,,,,,,,
1.65E-04,0.001670855,0.14391732,,,,,,,,
1.94E-04,0.002142154,0.14568973,,,,,,,,
-0.001458945,0.001213072,0.14677373,,,,,,,,
-6.90E-04,9.52E-04,0.14842129,,,,,,,,
-6.84E-04,9.21E-04,0.1483255,,,,,,,,
-7.80E-04,-1.19E-04,0.14822905,,,,,,,,
-9.14E-04,-5.07E-04,0.14828448,,,,,,,,
-0.001063909,-1.50E-04,0.1481066,,,,,,,,
-5.67E-04,0.001028902,0.14688787,,,,,,,,
-0.001426515,0.00181438,0.14786777,,,,,,,,
-9.74E-04,0.001748936,0.14752261,,,,,,,,
-0.001946961,0.002555822,0.14791207,,,,,,,,
-0.002162997,0.003693803,0.14773665,,,,,,,,
-0.00149444,0.003286392,0.14562353,,,,,,,,
-0.001988255,0.001452302,0.14488846,,,,,,,,
-0.002142103,7.19E-04,0.14431193,,,,,,,,
-0.002698239,2.60E-04,0.14626104,,,,,,,,
-0.001527373,0.001023364,0.14683609,,,,,,,,
-0.002093592,3.31E-05,0.14563325,,,,,,,,
-0.002539403,2.10E-04,0.14792821,,,,,,,,
-0.001963139,3.33E-05,0.14805113,,,,,,,,
-0.001618762,-1.62E-04,0.14934999,,,,,,,,
-0.001660722,-0.001421478,0.14929464,,,,,,,,
-0.001216179,-0.001313252,0.14961812,,,,,,,,
-0.001748511,-4.47E-04,0.14980584,,,,,,,,
-9.39E-04,-7.79E-04,0.14893258,,,,,,,,
-3.00E-04,-9.16E-04,0.14919387,,,,,,,,
5.42E-04,-0.00127075,0.14926448,,,,,,,,
6.73E-04,-3.57E-04,0.14780805,,,,,,,,
0.001081175,-3.50E-04,0.145779,,,,,,,,
2.87E-04,-1.85E-04,0.14610933,,,,,,,,
0.002410629,9.14E-04,0.14451109,,,,,,,,
0.001730647,8.16E-04,0.14508419,,,,,,,,
0.002560152,7.07E-04,0.14382216,,,,,,,,
0.002289257,0.001031657,0.14464942,,,,,,,,
0.002504333,5.92E-04,0.14492029,,,,,,,,
0.00263429,0.00121175,0.14420155,,,,,,,,
0.00221075,0.002008872,0.14388989,,,,,,,,
0.003597391,0.002172751,0.14249888,,,,,,,,
0.003287723,0.002431209,0.14358936,,,,,,,,
0.003021944,0.001038961,0.14334875,,,,,,,,
0.003616264,6.76E-04,0.14338526,,,,,,,,
0.0039446,0.001159531,0.14559235,,,,,,,,
0.00323586,9.85E-04,0.14474356,,,,,,,,
0.00313509,0.001520172,0.14502144,,,,,,,,
0.003357951,0.002164783,0.1445202,,,,,,,,
0.002781501,0.001968901,0.14436783,,,,,,,,
0.003018485,0.002800126,0.14855616,,,,,,,,
0.003424776,0.003087274,0.14841816,,,,,,,,
0.002888152,0.002677045,0.14485204,,,,,,,,
0.002319739,0.003382697,0.145739,,,,,,,,
0.002329626,0.001254536,0.14529045,,,,,,,,
0.00232377,0.001161704,0.1455668,,,,,,,,
3.77E-04,9.86E-04,0.14907941,,,,,,,,
2.44E-04,0.002173789,0.14924133,,,,,,,,
0.002570493,0.002925492,0.14653362,,,,,,,,
0.001413312,0.002641577,0.14863543,,,,,,,,
0.002816781,0.001831131,0.15094188,,,,,,,,
0.002861489,0.002094719,0.14949352,,,,,,,,
0.003473738,0.002760671,0.14880927,,,,,,,,
0.00310029,0.001142909,0.14931929,,,,,,,,
0.00117365,7.70E-04,0.15004496,,,,,,,,
0.002088438,0.001823229,0.14794482,,,,,,,,
0.002833707,0.001659072,0.14588107,,,,,,,,
0.002501929,0.001264572,0.1476038,,,,,,,,
0.001995534,0.001331928,0.14888096,,,,,,,,
0.003690771,0.001875839,0.147451,,,,,,,,
